year,week,cases
2001,1,7
2001,2,14
2001,3,46
2001,4,184
2001,5,427
2001,6,503
2001,7,381
2001,8,234
2001,9,227
2001,10,107
2001,11,64
2001,12,56
2001,13,29
2001,14,28
2001,15,20
2001,16,18
2001,17,21
2001,18,10
2001,19,7
2001,20,2
2001,21,2
2001,22,2
2001,23,6
2001,24,4
2001,25,4
2001,26,1
2001,27,2
2001,28,2
2001,29,2
2001,31,7
2001,32,3
2001,33,4
2001,34,2
2001,35,3
2001,36,7
2001,37,3
2001,38,3
2001,40,5
2001,41,6
2001,42,1
2001,43,2
2001,44,6
2001,45,8
2001,46,1
2001,47,6
2001,48,1
2001,49,4
2001,50,6
2001,51,4
2001,52,1
2002,1,7
2002,2,8
2002,3,15
2002,4,56
2002,5,62
2002,6,84
2002,7,114
2002,8,149
2002,9,239
2002,10,230
2002,11,354
2002,12,394
2002,13,276
2002,14,160
2002,15,138
2002,16,91
2002,17,64
2002,18,35
2002,19,25
2002,20,9
2002,21,7
2002,22,6
2002,23,3
2002,24,2
2002,25,3
2002,26,1
2002,27,3
2002,28,3
2002,29,1
2002,33,1
2002,35,1
2002,37,1
2002,38,2
2002,39,1
2002,40,1
2002,42,2
2002,43,4
2002,44,4
2002,45,5
2002,46,2
2002,48,1
2002,49,5
2002,50,1
2002,51,5
2002,52,2
2003,1,1
2003,2,7
2003,3,19
2003,4,67
2003,5,138
2003,6,294
2003,7,428
2003,8,962
2003,9,1324
2003,10,1415
2003,11,1290
2003,12,959
2003,13,587
2003,14,317
2003,15,141
2003,16,74
2003,17,45
2003,18,19
2003,19,14
2003,20,5
2003,21,11
2003,22,6
2003,23,1
2003,24,1
2003,25,1
2003,26,1
2003,27,1
2003,28,1
2003,30,2
2003,31,1
2003,34,2
2003,35,1
2003,36,3
2003,37,2
2003,38,9
2003,39,2
2003,40,4
2003,41,1
2003,42,4
2003,43,6
2003,44,9
2003,45,10
2003,46,8
2003,47,13
2003,48,20
2003,49,35
2003,50,74
2003,51,99
2003,52,56
2004,1,64
2004,2,99
2004,3,200
2004,4,256
2004,5,338
2004,6,472
2004,7,426
2004,8,361
2004,9,234
2004,10,248
2004,11,232
2004,12,198
2004,13,121
2004,14,58
2004,15,22
2004,16,12
2004,17,12
2004,18,10
2004,19,8
2004,20,4
2004,22,3
2004,24,2
2004,25,2
2004,26,1
2004,27,3
2004,28,2
2004,29,1
2004,30,1
2004,31,1
2004,34,2
2004,35,1
2004,36,2
2004,37,1
2004,38,1
2004,39,1
2004,40,3
2004,41,2
2004,42,2
2004,43,4
2004,44,6
2004,45,3
2004,46,2
2004,47,2
2004,48,2
2004,49,6
2004,50,7
2004,51,13
2004,52,20
2004,53,25
2005,1,29
2005,2,41
2005,3,79
2005,4,179
2005,5,417
2005,6,640
2005,7,1018
2005,8,1630
2005,9,2017
2005,10,2115
2005,11,2260
2005,12,1209
2005,13,504
2005,14,236
2005,15,90
2005,16,50
2005,17,24
2005,18,13
2005,19,13
2005,20,15
2005,21,65
2005,22,5
2005,23,8
2005,25,1
2005,26,1
2005,27,1
2005,28,3
2005,30,2
2005,33,1
2005,34,1
2005,37,2
2005,38,5
2005,39,2
2005,40,3
2005,42,4
2005,43,1
2005,44,8
2005,45,5
2005,46,5
2005,47,5
2005,48,8
2005,49,7
2005,50,10
2005,51,5
2006,1,3
2006,2,15
2006,3,13
2006,4,9
2006,5,29
2006,6,52
2006,7,49
2006,8,98
2006,9,128
2006,10,208
2006,11,367
2006,12,543
2006,13,730
2006,14,643
2006,15,376
2006,16,224
2006,17,114
2006,18,59
2006,19,49
2006,20,15
2006,21,7
2006,22,8
2006,23,3
2006,24,2
2006,25,1
2006,26,1
2006,28,1
2006,29,1
2006,30,1
2006,31,1
2006,32,1
2006,33,2
2006,34,1
2006,35,1
2006,39,1
2006,40,2
2006,42,3
2006,43,3
2006,44,3
2006,45,3
2006,46,3
2006,47,2
2006,48,3
2006,49,4
2006,50,2
2006,51,14
2006,52,7
